Facies;Formation;Well Name;Depth;GR;ILD_log10;DeltaPHI;PHIND;PE;NM_M;RELPOS
8;B2 LM;NEWBY;2937.5;19.85;0.48;-8.9;15.65;4.3;2;0.37
8;B2 LM;NEWBY;2938;18.3;0.494;-7.7;14.65;4.1;2;0.333
6;B2 LM;NEWBY;2938.5;19.39;0.531;-6.7;13.35;3.8;2;0.296
6;B2 LM;NEWBY;2939;24.34;0.585;-5;11.2;3.8;2;0.259
6;B2 LM;NEWBY;2939.5;29.67;0.646;-3.2;8.4;3.8;2;0.222
6;B2 LM;NEWBY;2940;33.9;0.709;-2.2;6.3;3.8;2;0.185
6;B2 LM;NEWBY;2940.5;39.83;0.757;-1.5;4.95;3.9;2;0.148
6;B2 LM;NEWBY;2941;44.94;0.794;-0.4;4.7;3.9;2;0.111
4;B2 LM;NEWBY;2941.5;48.55;0.814;0;6.2;3.8;2;0.074
3;B3 SH;NEWBY;2942;57.21;0.779;3.8;8.5;3.6;1;1
3;B3 SH;NEWBY;2942.5;60.19;0.732;3.8;9;3.5;1;0.952
3;B3 SH;NEWBY;2943;60.63;0.684;4;9.4;3.4;1;0.905
3;B3 SH;NEWBY;2943.5;64.74;0.645;-2.3;14.75;3.2;1;0.857
3;B3 SH;NEWBY;2944;72.79;0.623;-2.9;18.95;3.1;1;0.81
3;B3 SH;NEWBY;2944.5;78.41;0.614;-1.7;22.15;3;1;0.762
3;B3 SH;NEWBY;2945;83.39;0.607;-0.9;21.65;3.1;1;0.714
3;B3 SH;NEWBY;2945.5;82.25;0.6;1.9;17.85;3.3;1;0.667
3;B3 SH;NEWBY;2946;75.88;0.592;7.3;12.25;3.4;1;0.619
2;B3 SH;NEWBY;2946.5;72.24;0.589;2.9;12.45;3.3;1;0.571
2;B3 SH;NEWBY;2947;67.99;0.589;3.5;11.95;3.2;1;0.524
3;B3 SH;NEWBY;2947.5;65.41;0.59;3.9;11.45;3.3;1;0.476
3;B3 SH;NEWBY;2948;64.93;0.588;3.3;10.65;3.3;1;0.429
2;B3 SH;NEWBY;2948.5;61.87;0.579;1.8;11.1;3.2;1;0.381
2;B3 SH;NEWBY;2949;59.81;0.565;3.9;10.85;3.2;1;0.333
2;B3 SH;NEWBY;2949.5;60.59;0.547;5;11.6;3.2;1;0.286
2;B3 SH;NEWBY;2950;65.68;0.529;6.1;11.75;3.2;1;0.238
2;B3 SH;NEWBY;2950.5;73.12;0.519;7;12.1;3.2;1;0.19
2;B3 SH;NEWBY;2951;77.69;0.52;8.5;12.85;3.3;1;0.143
3;B3 SH;NEWBY;2951.5;77.23;0.537;10;13.9;3.4;1;0.095
3;B3 SH;NEWBY;2952;72.51;0.567;11.2;14.1;3.5;1;0.048
3;B3 SH;NEWBY;2952.5;59.53;0.605;10.2;13.3;3.9;1;0.01
5;B3 LM;NEWBY;2953;59.53;0.605;10.2;13.3;3.9;2;1
8;B3 LM;NEWBY;2953.5;46.1;0.644;6.5;12.45;4;2;0.9
8;B3 LM;NEWBY;2954;34.9;0.68;2.6;8.5;4.3;2;0.8
8;B3 LM;NEWBY;2954.5;27.06;0.711;-0.4;6.7;4.4;2;0.7
8;B3 LM;NEWBY;2955;23.8;0.724;0.1;6.05;4.4;2;0.6
8;B3 LM;NEWBY;2955.5;23.73;0.714;2.1;5.95;4.2;2;0.5
8;B3 LM;NEWBY;2956;25.3;0.677;3.7;6.85;4;2;0.4
8;B3 LM;NEWBY;2956.5;30.73;0.627;4.7;8.05;3.6;2;0.3
5;B3 LM;NEWBY;2957;40.11;0.583;5.2;9.8;3.4;2;0.2
9;B3 LM;NEWBY;2957.5;51.02;0.553;3.6;12.3;3.2;2;0.1
3;B4 SH;NEWBY;2958;59.94;0.533;4.1;14.55;3.1;1;1
3;B4 SH;NEWBY;2958.5;66.64;0.521;5.9;14.85;3;1;0.95
2;B4 SH;NEWBY;2959;67.56;0.512;3.2;12.7;2.9;1;0.9
2;B4 SH;NEWBY;2959.5;64.7;0.512;2.3;10.55;3;1;0.85
2;B4 SH;NEWBY;2960;62.96;0.522;2.2;9.5;3.2;1;0.8
2;B4 SH;NEWBY;2960.5;63.92;0.544;2.4;9.7;3.2;1;0.75
3;B4 SH;NEWBY;2961;66.19;0.569;3.1;10.35;3.2;1;0.7
2;B4 SH;NEWBY;2961.5;67.73;0.591;4.9;10.75;3.3;1;0.65
2;B4 SH;NEWBY;2962;69.53;0.603;6;11.4;3.3;1;0.6
2;B4 SH;NEWBY;2962.5;69.57;0.609;6.2;11.5;3.1;1;0.55
2;B4 SH;NEWBY;2963;66.4;0.606;4.5;10.65;3.1;1;0.5
2;B4 SH;NEWBY;2963.5;63.73;0.602;2.7;9.65;3.1;1;0.45
2;B4 SH;NEWBY;2964;61.19;0.598;2.3;8.85;3.2;1;0.4
2;B4 SH;NEWBY;2964.5;61.34;0.593;2.2;8.8;3.2;1;0.35
2;B4 SH;NEWBY;2965;63.16;0.587;2.2;9.5;3.2;1;0.3
2;B4 SH;NEWBY;2965.5;67.6;0.581;2.7;10.05;3.2;1;0.25
2;B4 SH;NEWBY;2966;72.68;0.579;3.6;10.8;3.2;1;0.2
2;B4 SH;NEWBY;2966.5;76.58;0.587;6.5;11.35;3.2;1;0.15
3;B4 SH;NEWBY;2967;76.67;0.605;7.8;13.5;3.4;1;0.1
3;B4 SH;NEWBY;2967.5;72.12;0.629;8.8;15.1;3.6;1;0.05
8;B4 LM;NEWBY;2968;60.07;0.656;7.7;13.75;3.9;2;1
8;B4 LM;NEWBY;2968.5;48.91;0.681;4.9;10.65;4.3;2;0.923
8;B4 LM;NEWBY;2969;39.4;0.708;5.4;7.3;4.7;2;0.846
8;B4 LM;NEWBY;2969.5;33.8;0.736;1.6;7.7;4.9;2;0.769
6;B4 LM;NEWBY;2970;34.66;0.757;1.5;7.75;4.7;2;0.692
6;B4 LM;NEWBY;2970.5;36.28;0.766;2.6;6.4;4.8;2;0.615
6;B4 LM;NEWBY;2971;34.45;0.753;2.9;5.75;4.5;2;0.538
6;B4 LM;NEWBY;2971.5;30.67;0.72;2.7;6.25;4.3;2;0.462
5;B4 LM;NEWBY;2972;26.59;0.668;4.6;6.5;4.2;2;0.385
5;B4 LM;NEWBY;2972.5;23.77;0.609;5.5;6.35;4;2;0.308
6;B4 LM;NEWBY;2973;25.2;0.55;4.9;6.65;3.8;2;0.231
6;B4 LM;NEWBY;2973.5;29.99;0.5;5.3;7.25;3.5;2;0.154
4;B4 LM;NEWBY;2974;37.46;0.461;6.1;8.85;3.4;2;0.077
2;B5 SH;NEWBY;2974.5;47.6;0.433;7.8;11.5;3.2;1;1
2;B5 SH;NEWBY;2975;57.5;0.41;9.3;14.95;3;1;0.923
3;B5 SH;NEWBY;2975.5;68.77;0.389;9.4;19;2.9;1;0.846
3;B5 SH;NEWBY;2976;80.03;0.373;9.8;20.6;2.9;1;0.769
3;B5 SH;NEWBY;2976.5;84.28;0.358;9;21.8;3;1;0.692
3;B5 SH;NEWBY;2977;85.4;0.346;11.2;20.9;3.1;1;0.615
3;B5 SH;NEWBY;2977.5;88.92;0.338;12.6;19.9;3.3;1;0.538
3;B5 SH;NEWBY;2978;89.45;0.336;13.2;19.8;3.3;1;0.462
3;B5 SH;NEWBY;2978.5;90.91;0.342;12.9;20.05;3.3;1;0.385
3;B5 SH;NEWBY;2979;97.24;0.356;14.2;20.1;3.4;1;0.308
3;B5 SH;NEWBY;2979.5;100.16;0.382;13;21.7;3.5;1;0.231
3;B5 SH;NEWBY;2980;100.42;0.42;13.8;23;3.5;1;0.154
3;B5 SH;NEWBY;2980.5;94.18;0.464;11.8;22.9;3.5;1;0.077
3;B5 SH;NEWBY;2981;94.18;0.464;11.8;22.9;3.5;1;0.077
8;B5 LM;NEWBY;2981.5;81.3;0.513;8.4;20.6;3.7;2;1
8;B5 LM;NEWBY;2982;64.21;0.571;3.4;15;3.8;2;0.977
8;B5 LM;NEWBY;2982.5;48.35;0.639;2.5;9.95;4.1;2;0.953
8;B5 LM;NEWBY;2983;36.53;0.72;1.3;7.95;4.4;2;0.93
8;B5 LM;NEWBY;2983.5;33.58;0.797;3.1;6.95;4.6;2;0.907
6;B5 LM;NEWBY;2984;34.97;0.866;2.9;6.95;4.7;2;0.884
6;B5 LM;NEWBY;2984.5;37.31;0.917;2.8;6.2;4.6;2;0.86
5;B5 LM;NEWBY;2985;38.17;0.944;2.7;5.35;4.7;2;0.837
5;B5 LM;NEWBY;2985.5;38.05;0.957;2.8;4.7;4.8;2;0.814
5;B5 LM;NEWBY;2986;35.15;0.957;2.1;4.15;4.8;2;0.791
5;B5 LM;NEWBY;2986.5;32.92;0.947;1.4;3.1;4.8;2;0.767
5;B5 LM;NEWBY;2987;30.87;0.927;0.8;2.6;4.9;2;0.744
6;B5 LM;NEWBY;2987.5;30.25;0.894;-0.4;3.3;4.9;2;0.721
6;B5 LM;NEWBY;2988;31.22;0.846;-1.4;5.5;4.9;2;0.698
6;B5 LM;NEWBY;2988.5;34.06;0.78;-1.9;7.95;4.8;2;0.674
6;B5 LM;NEWBY;2989;35.49;0.704;-2.8;9.8;4.8;2;0.651
6;B5 LM;NEWBY;2989.5;36.73;0.617;-3.2;10.7;4.9;2;0.628
9;B5 LM;NEWBY;2990;37.54;0.542;-4.8;12.2;4.8;2;0.605
9;B5 LM;NEWBY;2990.5;35.97;0.48;-5.7;14.35;4.7;2;0.581
9;B5 LM;NEWBY;2991;35.91;0.433;-6.2;16.4;4.7;2;0.558
9;B5 LM;NEWBY;2991.5;36.21;0.396;-7;17.3;4.7;2;0.535
9;B5 LM;NEWBY;2992;34.79;0.371;-7.1;17.45;4.6;2;0.512
9;B5 LM;NEWBY;2992.5;34.92;0.358;-7.1;17.75;4.6;2;0.488
9;B5 LM;NEWBY;2993;35.83;0.358;-6.2;17.6;4.6;2;0.465
9;B5 LM;NEWBY;2993.5;35.65;0.367;-4.9;16.65;4.6;2;0.442
9;B5 LM;NEWBY;2994;37.74;0.375;-5.3;15.95;4.6;2;0.419
9;B5 LM;NEWBY;2994.5;41.79;0.377;-5;14.9;4.5;2;0.395
9;B5 LM;NEWBY;2995;46.41;0.369;-5.1;14.35;4.5;2;0.372
9;B5 LM;NEWBY;2995.5;51.44;0.356;-6.1;14.95;4.5;2;0.349
9;B5 LM;NEWBY;2996;54.21;0.344;-5.8;16.1;4.5;2;0.326
9;B5 LM;NEWBY;2996.5;52.96;0.34;-5.3;17.45;4.6;2;0.302
9;B5 LM;NEWBY;2997;50.39;0.346;-4.2;18.3;4.6;2;0.279
9;B5 LM;NEWBY;2997.5;50;0.36;-3.7;17.55;4.6;2;0.256
9;B5 LM;NEWBY;2998;60.82;0.384;-3.8;15.2;4.7;2;0.233
9;B5 LM;NEWBY;2998.5;99.31;0.418;-3.4;11.6;4.6;2;0.209
6;B5 LM;NEWBY;2999;166.94;0.464;-2.5;8.25;4.6;2;0.186
6;B5 LM;NEWBY;2999.5;235.25;0.526;-0.1;5.85;4.6;2;0.163
6;B5 LM;NEWBY;3000;285.47;0.599;3;4.6;4.4;2;0.14
6;B5 LM;NEWBY;3000.5;305.87;0.666;4.4;4.8;4.3;2;0.116
6;B5 LM;NEWBY;3001;291.37;0.703;4.9;5.05;4.2;2;0.093
6;B5 LM;NEWBY;3001.5;252.41;0.7;4.2;5.9;3.9;2;0.07
8;B5 LM;NEWBY;3002;208.53;0.669;0.3;10.15;3.6;2;0.047
5;B5 LM;NEWBY;3002.5;169.07;0.631;-0.2;15;3.4;2;0.023
3;C SH;NEWBY;3003;136.52;0.594;2.5;17.75;3.4;1;1
3;C SH;NEWBY;3003.5;108.53;0.561;6.2;20.7;3.3;1;0.976
3;C SH;NEWBY;3004;89.16;0.533;10.4;19.6;3.4;1;0.951
3;C SH;NEWBY;3004.5;80.39;0.513;13.5;18.25;3.5;1;0.927
3;C SH;NEWBY;3005;78.07;0.501;14.3;18.05;3.6;1;0.902
3;C SH;NEWBY;3005.5;76.31;0.496;13.7;18.35;3.6;1;0.878
3;C SH;NEWBY;3006;72.35;0.497;13.2;18.6;3.7;1;0.854
3;C SH;NEWBY;3006.5;74.77;0.504;11.8;19.3;3.7;1;0.829
3;C SH;NEWBY;3007;75.05;0.515;11.5;19.55;3.8;1;0.805
3;C SH;NEWBY;3007.5;71.98;0.529;10.5;19.35;3.8;1;0.78
3;C SH;NEWBY;3008;71.05;0.542;10.4;17.9;3.7;1;0.756
3;C SH;NEWBY;3008.5;68.96;0.549;10.7;15.75;3.7;1;0.732
2;C SH;NEWBY;3009;64.84;0.554;10.6;13.6;3.6;1;0.707
2;C SH;NEWBY;3009.5;65.22;0.558;10.6;12.6;3.6;1;0.683
2;C SH;NEWBY;3010;66.6;0.565;10.8;13.5;3.5;1;0.659
2;C SH;NEWBY;3010.5;68.59;0.574;12.4;14.6;3.5;1;0.634
2;C SH;NEWBY;3011;73.44;0.585;12.6;16.7;3.5;1;0.61
2;C SH;NEWBY;3011.5;76.76;0.595;14.4;16.7;3.4;1;0.585
2;C SH;NEWBY;3012;78.76;0.603;14.2;16.6;3.4;1;0.561
2;C SH;NEWBY;3012.5;80.33;0.607;12.5;16.15;3.6;1;0.537
2;C SH;NEWBY;3013;77.14;0.613;9.8;15.7;3.7;1;0.512
2;C SH;NEWBY;3013.5;71.91;0.621;9.5;13.95;3.7;1;0.488
2;C SH;NEWBY;3014;68.44;0.631;8.8;13;3.8;1;0.463
2;C SH;NEWBY;3014.5;64.99;0.64;10.6;11.3;3.8;1;0.439
2;C SH;NEWBY;3015;64.47;0.643;8.6;12.1;3.7;1;0.415
2;C SH;NEWBY;3015.5;64.96;0.632;9.1;12.15;3.6;1;0.39
2;C SH;NEWBY;3016;66.29;0.609;9.9;12.55;3.4;1;0.366
2;C SH;NEWBY;3016.5;67.6;0.577;10.4;12.8;3.4;1;0.341
2;C SH;NEWBY;3017;67.43;0.545;8;15.8;3.3;1;0.317
2;C SH;NEWBY;3017.5;68.87;0.52;5.8;19.5;3.2;1;0.293
2;C SH;NEWBY;3018;73.88;0.502;6.1;21.45;3.3;1;0.268
2;C SH;NEWBY;3018.5;77.89;0.49;6.5;23.15;3.4;1;0.244
2;C SH;NEWBY;3019;83.49;0.484;6.3;23.15;3.4;1;0.22
2;C SH;NEWBY;3019.5;87.98;0.484;9.9;21.65;3.4;1;0.195
2;C SH;NEWBY;3020;86.45;0.497;9.5;21.25;3.4;1;0.171
2;C SH;NEWBY;3020.5;86.29;0.521;10.3;19.95;3.4;1;0.146
2;C SH;NEWBY;3021;82.18;0.565;14.1;17.95;3.6;1;0.122
2;C SH;NEWBY;3021.5;77.07;0.621;8.9;20.65;3.5;1;0.098
2;C SH;NEWBY;3022;72.45;0.689;8.5;21.65;3.8;1;0.073
2;C SH;NEWBY;3022.5;63.1;0.753;4.9;20.55;3.8;1;0.049
2;C SH;NEWBY;3023;49.23;0.806;-1.4;15.3;3.9;1;0.024
8;C LM;NEWBY;3023.5;37.7;0.852;0.8;9;4.3;2;1
8;C LM;NEWBY;3024;26.37;0.89;2.4;6.1;4.5;2;0.989
6;C LM;NEWBY;3024.5;19.57;0.916;0.6;7;4.5;2;0.978
6;C LM;NEWBY;3025;17.32;0.916;0.4;7;4.3;2;0.966
6;C LM;NEWBY;3025.5;17.09;0.891;0.2;6.1;4.1;2;0.955
6;C LM;NEWBY;3026;19.53;0.856;-0.1;5.75;3.9;2;0.944
6;C LM;NEWBY;3026.5;25.62;0.826;0.7;6.25;3.7;2;0.933
6;C LM;NEWBY;3027;33.05;0.808;2.5;7.85;3.5;2;0.921
6;C LM;NEWBY;3027.5;42.69;0.796;5.2;9.9;3.4;2;0.91
6;C LM;NEWBY;3028;47.37;0.786;6.1;10.75;3.4;2;0.899
6;C LM;NEWBY;3028.5;47.9;0.781;6;9.9;3.5;2;0.888
6;C LM;NEWBY;3029;45.19;0.787;4.5;8.95;3.6;2;0.876
6;C LM;NEWBY;3029.5;40.54;0.812;3.5;8.55;3.7;2;0.865
6;C LM;NEWBY;3030;38.91;0.851;2.7;8.45;3.8;2;0.854
6;C LM;NEWBY;3030.5;39.62;0.898;2.2;8.1;4.1;2;0.843
6;C LM;NEWBY;3031;38.84;0.936;2.7;6.85;4;2;0.831
6;C LM;NEWBY;3031.5;37.8;0.961;1;6;4.2;2;0.82
6;C LM;NEWBY;3032;35.03;0.979;0.2;5.1;4.2;2;0.809
6;C LM;NEWBY;3032.5;33.44;0.999;-0.3;4.95;4.1;2;0.798
6;C LM;NEWBY;3033;36.21;1.024;0.1;5.75;3.9;2;0.787
6;C LM;NEWBY;3033.5;40.89;1.05;1.4;6.8;3.9;2;0.775
6;C LM;NEWBY;3034;43.3;1.063;2.6;7.4;3.9;2;0.764
6;C LM;NEWBY;3034.5;43.27;1.06;1.9;7.05;3.7;2;0.753
6;C LM;NEWBY;3035;38.84;1.048;0.3;5.45;3.8;2;0.742
6;C LM;NEWBY;3035.5;35.26;1.04;-1;4.6;4;2;0.73
6;C LM;NEWBY;3036;31.52;1.039;-1;4.4;3.9;2;0.719
6;C LM;NEWBY;3036.5;34.32;1.042;0.4;4.7;3.9;2;0.708
6;C LM;NEWBY;3037;37.35;1.043;1.5;5.65;4;2;0.697
6;C LM;NEWBY;3037.5;39.69;1.035;2.4;6.4;4;2;0.685
6;C LM;NEWBY;3038;43.08;1.024;2.1;7.05;3.9;2;0.674
6;C LM;NEWBY;3038.5;46.27;1.015;1.5;7.15;3.8;2;0.663
6;C LM;NEWBY;3039;47.77;1.009;1;7.4;3.8;2;0.652
6;C LM;NEWBY;3039.5;49.96;1.008;0.3;7.45;3.9;2;0.64
6;C LM;NEWBY;3040;51.09;1.008;1.3;6.65;4;2;0.629
6;C LM;NEWBY;3040.5;50.21;1.007;1.6;5.7;4.1;2;0.618
6;C LM;NEWBY;3041;50.4;1.003;2;5.5;4.1;2;0.607
6;C LM;NEWBY;3041.5;50.99;0.994;3.1;5.75;4.2;2;0.596
6;C LM;NEWBY;3042;49.18;0.973;3.4;6.6;4.2;2;0.584
6;C LM;NEWBY;3042.5;48.64;0.94;4.1;6.85;4.1;2;0.573
6;C LM;NEWBY;3043;47.11;0.909;3.9;7.25;4;2;0.562
6;C LM;NEWBY;3043.5;48.61;0.889;2.9;7.85;3.9;2;0.551
4;C LM;NEWBY;3044;55.32;0.888;3;8.3;3.9;2;0.539
4;C LM;NEWBY;3044.5;60.5;0.907;4.2;9;3.9;2;0.528
6;C LM;NEWBY;3045;69.16;0.939;6.3;9.45;4;2;0.517
6;C LM;NEWBY;3045.5;77.53;0.979;6.6;8;4.2;2;0.506
6;C LM;NEWBY;3046;76.88;1.022;4.3;6.15;4.4;2;0.494
9;C LM;NEWBY;3046.5;70.4;1.064;2.4;4;4.4;2;0.483
9;C LM;NEWBY;3047;63.2;1.101;1.4;2.4;4.3;2;0.472
9;C LM;NEWBY;3047.5;53.89;1.118;-0.4;2.3;4.2;2;0.461
9;C LM;NEWBY;3048;56.2;1.107;-1.2;2.7;4.2;2;0.449
6;C LM;NEWBY;3048.5;78.23;1.074;-0.4;3.1;4.1;2;0.438
6;C LM;NEWBY;3049;112.92;1.022;-0.8;5.1;4.1;2;0.427
6;C LM;NEWBY;3049.5;144.15;0.963;0.4;7.7;4.1;2;0.416
4;C LM;NEWBY;3050;157.21;0.899;4.1;9.95;4.4;2;0.404
5;C LM;NEWBY;3050.5;152.6;0.839;5.6;11.4;4.2;2;0.393
4;C LM;NEWBY;3051;140.93;0.792;6.1;12.25;4.1;2;0.382
4;C LM;NEWBY;3051.5;122.45;0.761;6.6;13.3;4;2;0.371
4;C LM;NEWBY;3052;110.67;0.748;7.5;15.15;3.9;2;0.36
4;C LM;NEWBY;3052.5;108.85;0.754;7.3;15.85;3.6;2;0.348
4;C LM;NEWBY;3053;105.74;0.775;8.5;16.05;3.6;2;0.337
4;C LM;NEWBY;3053.5;100.04;0.803;9.5;16.85;3.7;2;0.326
4;C LM;NEWBY;3054;92.64;0.828;9.5;16.05;3.9;2;0.315
6;C LM;NEWBY;3054.5;80.47;0.841;6.8;12.5;4;2;0.303
6;C LM;NEWBY;3055;66.94;0.838;4;8;4.2;2;0.292
6;C LM;NEWBY;3055.5;54.06;0.823;1.9;5.45;4.3;2;0.281
6;C LM;NEWBY;3056;47.87;0.797;0.7;4.85;4.4;2;0.27
6;C LM;NEWBY;3056.5;49.34;0.763;2.3;4.85;4.1;2;0.258
8;C LM;NEWBY;3057;59.88;0.721;3.2;7.2;3.9;2;0.247
